1;0020
2;0021
3;0022
4;0023
5;0024
6;0025
7;0026
8;0027
9;0028
10;0029
11;002A
12;002B
13;002C
14;002D
15;002E
16;002F
17;0030
18;0031
19;0032
20;0033
21;0034
22;0035
23;0036
24;0037
25;0038
26;0039
27;003A
28;003B
29;003C
30;003D
31;003E
32;003F
33;0040
34;0041
35;0042
36;0043
37;0044
38;0045
39;0046
40;0047
41;0048
42;0049
43;004A
44;004B
45;004C
46;004D
47;004E
48;004F
49;0050
50;0051
51;0052
52;0053
53;0054
54;0055
55;0056
56;0057
57;0058
58;0059
59;005A
60;005B
61;005C
62;005D
63;005E
64;005F
65;0060
66;0061
67;0062
68;0063
69;0064
70;0065
71;0066
72;0067
73;0068
74;0069
75;006A
76;006B
77;006C
78;006D
79;006E
80;006F
81;0070
82;0071
83;0072
84;0073
85;0074
86;0075
87;0076
88;0077
89;0078
90;0079
91;007A
92;007B
93;007C
94;007D
95;007E
101;3000
102;3001
103;3002
104;30FB
105;2025
106;2026
107;00A8
108;3003
109;2013
110;2014
111;2016
112;FF3C
113;FF5E
114;2018
115;2019
116;201C
117;201D
118;3014
119;3015
120;3008
121;3009
122;300A
123;300B
124;300C
125;300D
126;300E
127;300F
128;3010
129;3011
130;00B1
131;00D7
132;00F7
133;2260
134;2264
135;2265
136;221E
137;2234
138;00B0
139;2032
140;2033
141;2103
142;212B
143;FFE0
144;FFE1
145;FFE5
146;2642
147;2640
148;2220
149;22A5
150;2312
151;2202
152;2207
153;2261
154;2252
155;00A7
156;203B
157;2606
158;2605
159;25CB
160;25CF
161;25CE
162;25C7
163;25C6
164;25A1
165;25A0
166;25B3
167;25B2
168;25BD
169;25BC
170;2192
171;2190
172;2191
173;2193
174;2194
175;3013
176;00AB
177;00BB
178;221A
179;223D
180;221D
181;2235
182;222B
183;222C
184;2208
185;220B
186;2286
187;2287
188;2282
189;2283
190;222A
191;2229
192;2227
193;2228
194;FFE2
195;21D2
196;21D4
197;2200
198;2203
199;00B4
200;02DC
201;02C7
202;02D8
203;02DD
204;02DA
205;02D9
206;00B8
207;02DB
208;00A1
209;00BF
210;2236
211;222E
212;2211
213;220F
214;00A4
215;2109
216;2030
217;25C1
218;25C0
219;25B7
220;25B6
221;2664
222;2660
223;2661
224;2665
225;2667
226;2663
227;25C9
228;25C8
229;25A3
230;25D0
231;25D1
232;2592
233;25A4
234;25A5
235;25A8
236;25A7
237;25A6
238;25A9
239;2668
240;260F
241;260E
242;261C
243;261E
244;00B6
245;2020
246;2021
247;2195
248;2197
249;2199
250;2196
251;2198
252;266D
253;2669
254;266A
255;266C
256;327F
257;321C
258;2116
259;33C7
260;2122
261;33C2
262;33D8
263;2121
264;FF01
265;FF02
266;FF03
267;FF04
268;FF05
269;FF06
270;FF07
271;FF08
272;FF09
273;FF0A
274;FF0B
275;FF0C
276;FF0D
277;FF0E
278;FF0F
279;FF10
280;FF11
281;FF12
282;FF13
283;FF14
284;FF15
285;FF16
286;FF17
287;FF18
288;FF19
289;FF1A
290;FF1B
291;FF1C
292;FF1D
293;FF1E
294;FF1F
295;FF20
296;FF21
297;FF22
298;FF23
299;FF24
300;FF25
301;FF26
302;FF27
303;FF28
304;FF29
305;FF2A
306;FF2B
307;FF2C
308;FF2D
309;FF2E
310;FF2F
311;FF30
312;FF31
313;FF32
314;FF33
315;FF34
316;FF35
317;FF36
318;FF37
319;FF38
320;FF39
321;FF3A
322;FF3B
323;FFE6
324;FF3D
325;FF3E
326;FF3F
327;FF40
328;FF41
329;FF42
330;FF43
331;FF44
332;FF45
333;FF46
334;FF47
335;FF48
336;FF49
337;FF4A
338;FF4B
339;FF4C
340;FF4D
341;FF4E
342;FF4F
343;FF50
344;FF51
345;FF52
346;FF53
347;FF54
348;FF55
349;FF56
350;FF57
351;FF58
352;FF59
353;FF5A
354;FF5B
355;FF5C
356;FF5D
357;FFE3
358;3131
359;3132
360;3133
361;3134
362;3135
363;3136
364;3137
365;3138
366;3139
367;313A
368;313B
369;313C
370;313D
371;313E
372;313F
373;3140
374;3141
375;3142
376;3143
377;3144
378;3145
379;3146
380;3147
381;3148
382;3149
383;314A
384;314B
385;314C
386;314D
387;314E
388;314F
389;3150
390;3151
391;3152
392;3153
393;3154
394;3155
395;3156
396;3157
397;3158
398;3159
399;315A
400;315B
401;315C
402;315D
403;315E
404;315F
405;3160
406;3161
407;3162
408;3163
409;3165
410;3166
411;3167
412;3168
413;3169
414;316A
415;316B
416;316C
417;316D
418;316E
419;316F
420;3170
421;3171
422;3172
423;3173
424;3174
425;3175
426;3176
427;3177
428;3178
429;3179
430;317A
431;317B
432;317C
433;317D
434;317E
435;317F
436;3180
437;3181
438;3182
439;3183
440;3184
441;3185
442;3186
443;3187
444;3188
445;3189
446;318A
447;318B
448;318C
449;318D
450;318E
451;2170
452;2171
453;2172
454;2173
455;2174
456;2175
457;2176
458;2177
459;2178
460;2179
461;2160
462;2161
463;2162
464;2163
465;2164
466;2165
467;2166
468;2167
469;2168
470;2169
471;0391
472;0392
473;0393
474;0394
475;0395
476;0396
477;0397
478;0398
479;0399
480;039A
481;039B
482;039C
483;039D
484;039E
485;039F
486;03A0
487;03A1
488;03A3
489;03A4
490;03A5
491;03A6
492;03A7
493;03A8
494;03A9
495;03B1
496;03B2
497;03B3
498;03B4
499;03B5
500;03B6
501;03B7
502;03B8
503;03B9
504;03BA
505;03BB
506;03BC
507;03BD
508;03BE
509;03BF
510;03C0
511;03C1
512;03C3
513;03C4
514;03C5
515;03C6
